0,00395509568135512
0,00207742399424713
0,0017578203028245
0,00711118213415365
0,00559306459989613
0,00319603691422636
0,00387519475849946
0,000599256921417442
0,00511365906276218
0,0041947984499221
0,000639207382845272
0,00519355998561783
0,000878910151412249
0,000559306459989613
0,000679157844273101
0,000279653229994806
0,000519355998561783
0,00371539291278814
0,00115856338140706
0,000519355998561783
0,00111861291997923
0,00179777076425233
0,000878910151412249
0,00115856338140706
0,000359554152850465
0,000838959689984419
0,00431464983420559
0,00079900922855659
